"LBC105LA.Code.or.Value","LBC105LA.Value.Description","LBC105LA.Count","LBC105LA.Cumulative","LBC105LA.Skip.to.Item"
"0.15 to 18.9","Range of Values",247,247,NA
".","Missing",0,247,NA
