"PFD069H.Code.or.Value","PFD069H.Value.Description","PFD069H.Count","PFD069H.Cumulative","PFD069H.Skip.to.Item"
"60 to 25185","Range of Values",125,125,NA
"66666","Since birth",2,127,NA
"77777","Refused",0,127,NA
"99999","Don't know",3,130,NA
".","Missing",10340,10470,NA
