"AUXRR223.Code.or.Value","AUXRR223.Value.Description","AUXRR223.Count","AUXRR223.Cumulative","AUXRR223.Skip.to.Item"
"-26 to 69","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
