"AUDTYR41.Code.or.Value","AUDTYR41.Value.Description","AUDTYR41.Count","AUDTYR41.Cumulative","AUDTYR41.Skip.to.Item"
"0 to 3.16","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
