"LBD189LC.Code.or.Value","LBD189LC.Value.Description","LBD189LC.Count","LBD189LC.Cumulative","LBD189LC.Skip.to.Item"
"0","At or above the detection limit",167,167,NA
"1","Below lower detection limit",132,299,NA
".","Missing",2,301,NA
