"DXXINITX.Code.or.Value","DXXINITX.Value.Description","DXXINITX.Count","DXXINITX.Cumulative","DXXINITX.Skip.to.Item"
"80 to 307.1","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
