"TYXP175.Code.or.Value","TYXP175.Value.Description","TYXP175.Count","TYXP175.Cumulative","TYXP175.Skip.to.Item"
"-299 to 1","Range of Values",2844,2844,NA
".","Missing",5625,8469,NA
