"DRD370C.Code.or.Value","DRD370C.Value.Description","DRD370C.Count","DRD370C.Cumulative","DRD370C.Skip.to.Item"
"1","Yes",97,97,""
"2","No",4983,5080,"DRD370D"
".","Missing",4202,9282,""
