"AUXLR145.Code.or.Value","AUXLR145.Value.Description","AUXLR145.Count","AUXLR145.Cumulative","AUXLR145.Skip.to.Item"
"-30 to 85","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
