"DR2TCHOL.Code.or.Value","DR2TCHOL.Value.Description","DR2TCHOL.Count","DR2TCHOL.Cumulative","DR2TCHOL.Skip.to.Item"
"0 to 2269","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
