"HCQ140E.Code.or.Value","HCQ140E.Value.Description","HCQ140E.Count","HCQ140E.Cumulative","HCQ140E.Skip.to.Item"
"1","Yes",5,5,NA
"2","No",3,8,NA
"7","Refused",0,8,NA
"9","Don't know",0,8,NA
".","Missing",70,78,NA
