"AUXU8KL.Code.or.Value","AUXU8KL.Value.Description","AUXU8KL.Count","AUXU8KL.Cumulative","AUXU8KL.Skip.to.Item"
"-10 to 110","Range of Values",2711,2711,NA
"666","No response",18,2729,NA
"888","Could not obtain",15,2744,NA
".","Missing",290,3034,NA
