"DR1TLZ.Code.or.Value","DR1TLZ.Value.Description","DR1TLZ.Count","DR1TLZ.Cumulative","DR1TLZ.Skip.to.Item"
"0 to 74345","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
