"LBCBR9LA.Code.or.Value","LBCBR9LA.Value.Description","LBCBR9LA.Count","LBCBR9LA.Cumulative","LBCBR9LA.Skip.to.Item"
"0.2 to 3.3","Range of Values",264,264,NA
".","Missing",0,264,NA
