"DR2ICOPP.Code.or.Value","DR2ICOPP.Value.Description","DR2ICOPP.Count","DR2ICOPP.Cumulative","DR2ICOPP.Skip.to.Item"
"0 to 36.017","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
