"HOD060.Code.or.Value","HOD060.Value.Description","HOD060.Count","HOD060.Cumulative","HOD060.Skip.to.Item"
"1","Less than one year",1650,1650,NA
"2","1-2 years",1973,3623,NA
"3","3-5 years",2010,5633,NA
"4","6-10 years",1641,7274,NA
"5","More than 10 years",2770,10044,NA
"77","Refused",5,10049,NA
"99","Don't know",6,10055,NA
".","Missing",94,10149,NA
