"CIQD084.Code.or.Value","CIQD084.Value.Description","CIQD084.Count","CIQD084.Cumulative","CIQD084.Skip.to.Item"
"1","Still going on",12,12,"CIQD087"
"5","Ended",26,38,""
"7","Refuse",0,38,"CIQD087"
"9","Don't know",0,38,"CIQD087"
".","Missing",740,778,""
