"TYXA251.Code.or.Value","TYXA251.Value.Description","TYXA251.Count","TYXA251.Cumulative","TYXA251.Skip.to.Item"
"0.331 to 4.216","Range of Values",138,138,NA
".","Missing",8331,8469,NA
