"BMXRECUM.Code.or.Value","BMXRECUM.Value.Description","BMXRECUM.Count","BMXRECUM.Cumulative","BMXRECUM.Skip.to.Item"
"46.8 to 113.3","Range of Values",1356,1356,NA
".","Missing",8594,9950,NA
