"PAQ690i.Code.or.Value","PAQ690i.Value.Description","PAQ690i.Count","PAQ690i.Cumulative","PAQ690i.Skip.to.Item"
"18","Exercised indoors instead of outside",49,49,NA
".","Missing",6840,6889,NA
