"WTSPC2YR.Code.or.Value","WTSPC2YR.Value.Description","WTSPC2YR.Count","WTSPC2YR.Cumulative","WTSPC2YR.Skip.to.Item"
"0 to 386575.00873","Range of Values",3435,3435,NA
".","Missing",0,3435,NA
