"PAQ706.Code.or.Value","PAQ706.Value.Description","PAQ706.Count","PAQ706.Cumulative","PAQ706.Skip.to.Item"
"0 to 7","Range of Values",2224,2224,NA
"77","Refused",1,2225,NA
"99","Don't know",3,2228,NA
".","Missing",7543,9771,NA
