"MCQ160B.Code.or.Value","MCQ160B.Value.Description","MCQ160B.Count","MCQ160B.Cumulative","MCQ160B.Skip.to.Item"
"1","Yes",217,217,""
"2","No",5693,5910,"MCQ160C"
"7","Refused",0,5910,"MCQ160C"
"9","Don't know",25,5935,"MCQ160C"
".","Missing",3731,9666,""
