"LBDD07LC.Code.or.Value","LBDD07LC.Value.Description","LBDD07LC.Count","LBDD07LC.Cumulative","LBDD07LC.Skip.to.Item"
"0","detectable result",957,957,NA
"1","below detectable limit",214,1171,NA
".","Missing",1376,2547,NA
