"WHD100N.Code.or.Value","WHD100N.Value.Description","WHD100N.Count","WHD100N.Cumulative","WHD100N.Skip.to.Item"
"23","Followed a special diet to not gain weight",11,11,NA
".","Missing",6033,6044,NA
