"LBDD05LC.Code.or.Value","LBDD05LC.Value.Description","LBDD05LC.Count","LBDD05LC.Cumulative","LBDD05LC.Skip.to.Item"
"0","detectable result",1130,1130,NA
"1","below detectable limit",764,1894,NA
".","Missing",380,2274,NA
