"RHQ551G.Code.or.Value","RHQ551G.Value.Description","RHQ551G.Count","RHQ551G.Cumulative","RHQ551G.Skip.to.Item"
"16","Other reasons",63,63,NA
".","Missing",3534,3597,NA
