"MCQ240V.Code.or.Value","MCQ240V.Value.Description","MCQ240V.Count","MCQ240V.Cumulative","MCQ240V.Skip.to.Item"
"41 to 78","Range of Values",4,4,NA
"80","80 years or older",0,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",10105,10109,NA
