"DS1ICALC.Code.or.Value","DS1ICALC.Value.Description","DS1ICALC.Count","DS1ICALC.Cumulative","DS1ICALC.Skip.to.Item"
"3 to 2270","Range of Values",1894,1894,NA
".","Missing",3476,5370,NA
