"DMDBORN.Code.or.Value","DMDBORN.Value.Description","DMDBORN.Count","DMDBORN.Cumulative","DMDBORN.Skip.to.Item"
"1","Born in 50 US States or Washington, DC",9408,9408,NA
"2","Born in Mexico",993,10401,NA
"3","Born Elsewhere",629,11030,NA
"7","Refused",4,11034,NA
"9","Don't know",0,11034,NA
".","Missing",5,11039,NA
