"SLQ060.Code.or.Value","SLQ060.Value.Description","SLQ060.Count","SLQ060.Cumulative","SLQ060.Skip.to.Item"
"1","Yes",370,370,""
"2","No",5763,6133,"SLQ080"
"7","Refused",1,6134,"SLQ080"
"9","Don't know",5,6139,"SLQ080"
".","Missing",0,6139,""
