"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.21 to 49.9","Range of Values",2503,2503,NA
".","Missing",91,2594,NA
