"WTSPH31.Code.or.Value","WTSPH31.Value.Description","WTSPH31.Count","WTSPH31.Cumulative","WTSPH31.Skip.to.Item"
"0.0000000 to 788890.8281600","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
