"URDTNE6.Code.or.Value","URDTNE6.Value.Description","URDTNE6.Count","URDTNE6.Cumulative","URDTNE6.Skip.to.Item"
"0.2983 to 768.2","Range of Values",614,614,NA
".","Missing",2141,2755,NA
