"AUXRR266.Code.or.Value","AUXRR266.Value.Description","AUXRR266.Count","AUXRR266.Cumulative","AUXRR266.Skip.to.Item"
"-84 to 37","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
