"BIDCM.Code.or.Value","BIDCM.Value.Description","BIDCM.Count","BIDCM.Cumulative","BIDCM.Skip.to.Item"
"0.15 to 36.75","Range of Values",4229,4229,NA
".","Missing",1100,5329,NA
