"KIQ081.Code.or.Value","KIQ081.Value.Description","KIQ081.Count","KIQ081.Cumulative","KIQ081.Skip.to.Item"
"1","Yes",122,122,NA
"2","No",1242,1364,NA
"7","Refused",0,1364,NA
"9","Don't know",2,1366,NA
".","Missing",918,2284,NA
