"MGXH2T1E.Code.or.Value","MGXH2T1E.Value.Description","MGXH2T1E.Count","MGXH2T1E.Cumulative","MGXH2T1E.Skip.to.Item"
"1","Maximal",6892,6892,NA
"2","Questionable",179,7071,NA
".","Missing",750,7821,NA
