"DRD370O.Code.or.Value","DRD370O.Value.Description","DRD370O.Count","DRD370O.Cumulative","DRD370O.Skip.to.Item"
"1","Yes",61,61,""
"2","No",5363,5424,"DRD370P"
".","Missing",4338,9762,""
