"URDMX6LC.Code.or.Value","URDMX6LC.Value.Description","URDMX6LC.Count","URDMX6LC.Cumulative","URDMX6LC.Skip.to.Item"
"0","At or above the detection limit",2687,2687,NA
"1","Below lower detection limit",27,2714,NA
".","Missing",117,2831,NA
