"URDMZPLC.Code.or.Value","URDMZPLC.Value.Description","URDMZPLC.Count","URDMZPLC.Cumulative","URDMZPLC.Skip.to.Item"
"0","At or above the detection limit",2621,2621,NA
"1","Below lower detection limit",64,2685,NA
".","Missing",92,2777,NA
