"LBX2DF.Code.or.Value","LBX2DF.Value.Description","LBX2DF.Count","LBX2DF.Cumulative","LBX2DF.Skip.to.Item"
"0.0078 to 0.78","Range of Values",3203,3203,NA
".","Missing",286,3489,NA
