"KIQ241.Code.or.Value","KIQ241.Value.Description","KIQ241.Count","KIQ241.Cumulative","KIQ241.Skip.to.Item"
"1","Yes",53,53,NA
"2","No",50,103,NA
"7","Refused",0,103,NA
"9","Don't know",0,103,NA
".","Missing",1789,1892,NA
