"BPXPLS.Code.or.Value","BPXPLS.Value.Description","BPXPLS.Count","BPXPLS.Cumulative","BPXPLS.Skip.to.Item"
"0 to 172","Range of Values",7060,7060,NA
".","Missing",2278,9338,NA
