"LBC028LA.Code.or.Value","LBC028LA.Value.Description","LBC028LA.Count","LBC028LA.Cumulative","LBC028LA.Skip.to.Item"
"0.1414 to 11.3","Range of Values",280,280,NA
".","Missing",4,284,NA
