"BIXS005K.Code.or.Value","BIXS005K.Value.Description","BIXS005K.Count","BIXS005K.Cumulative","BIXS005K.Skip.to.Item"
"356.33 to 1079.03","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
