"MCQ082.Code.or.Value","MCQ082.Value.Description","MCQ082.Count","MCQ082.Cumulative","MCQ082.Skip.to.Item"
"1","Yes",33,33,NA
"2","No",8534,8567,NA
"7","Refused",0,8567,NA
"9","Don't know",5,8572,NA
".","Missing",1198,9770,NA
