"MGAPHAND.Code.or.Value","MGAPHAND.Value.Description","MGAPHAND.Count","MGAPHAND.Cumulative","MGAPHAND.Skip.to.Item"
"1","Right",3906,3906,NA
"2","Left",3901,7807,NA
".","Missing",484,8291,NA
