"URXUCO.Code.or.Value","URXUCO.Value.Description","URXUCO.Count","URXUCO.Cumulative","URXUCO.Skip.to.Item"
"0.034 to 31","Range of Values",2504,2504,NA
".","Missing",90,2594,NA
