"DS2ICARB.Code.or.Value","DS2ICARB.Value.Description","DS2ICARB.Count","DS2ICARB.Cumulative","DS2ICARB.Skip.to.Item"
"0.0003 to 63","Range of Values",946,946,NA
".","Missing",4830,5776,NA
