"LBDINSI.Code.or.Value","LBDINSI.Value.Description","LBDINSI.Count","LBDINSI.Cumulative","LBDINSI.Skip.to.Item"
"5.28 to 1921.32","Range of Values",3337,3337,NA
".","Missing",244,3581,NA
