"DRD350JQ.Code.or.Value","DRD350JQ.Value.Description","DRD350JQ.Count","DRD350JQ.Cumulative","DRD350JQ.Skip.to.Item"
"1 to 10","Range of Values",22,22,NA
".","Missing",9928,9950,NA
