"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"-0.08 to 0.287","Range of Values",2995,2995,NA
".","Missing",713,3708,NA
