"SSPL1_N.Code.or.Value","SSPL1_N.Value.Description","SSPL1_N.Count","SSPL1_N.Cumulative","SSPL1_N.Skip.to.Item"
"39 to 2500","Range of Values",1760,1760,NA
".","Missing",18,1778,NA
