"WTSPH16.Code.or.Value","WTSPH16.Value.Description","WTSPH16.Count","WTSPH16.Cumulative","WTSPH16.Skip.to.Item"
"0.0000000 to 771559.1581200","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
