"DXXPT72Y.Code.or.Value","DXXPT72Y.Value.Description","DXXPT72Y.Count","DXXPT72Y.Cumulative","DXXPT72Y.Skip.to.Item"
"116.4 to 308.2","Range of Values",2992,2992,NA
".","Missing",716,3708,NA
