"DXXINITY.Code.or.Value","DXXINITY.Value.Description","DXXINITY.Count","DXXINITY.Cumulative","DXXINITY.Skip.to.Item"
"356.7 to 993.2","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
