"DXXPT86Y.Code.or.Value","DXXPT86Y.Value.Description","DXXPT86Y.Count","DXXPT86Y.Cumulative","DXXPT86Y.Skip.to.Item"
"123.1 to 359","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
