"RFXT132.Code.or.Value","RFXT132.Value.Description","RFXT132.Count","RFXT132.Cumulative","RFXT132.Skip.to.Item"
"1150 to 1159","Range of Values",33679,33679,NA
".","Missing",42,33721,NA
