"CIQP21G.Code.or.Value","CIQP21G.Value.Description","CIQP21G.Count","CIQP21G.Cumulative","CIQP21G.Skip.to.Item"
"7","Fear: Crowd, standing in line",0,0,NA
".","Missing",778,778,NA
