"CBQ698f.Code.or.Value","CBQ698f.Value.Description","CBQ698f.Count","CBQ698f.Cumulative","CBQ698f.Skip.to.Item"
"6","I buy what I or my family like, I don't care about the labels",222,222,NA
".","Missing",6177,6399,NA
