"AUQ410g.Code.or.Value","AUQ410g.Value.Description","AUQ410g.Count","AUQ410g.Cumulative","AUQ410g.Skip.to.Item"
"7","Loud brief explosive noise/sounds",90,90,NA
".","Missing",8807,8897,NA
