"RFXT050.Code.or.Value","RFXT050.Value.Description","RFXT050.Count","RFXT050.Cumulative","RFXT050.Skip.to.Item"
"424 to 433","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
