"DSQTFA.Code.or.Value","DSQTFA.Value.Description","DSQTFA.Count","DSQTFA.Cumulative","DSQTFA.Skip.to.Item"
"1 to 12000","Range of Values",2451,2451,NA
".","Missing",7305,9756,NA
